tD,tR_over_tD,time,samples,odd_mean,odd_stderr,even_mean,even_stderr,max_bond_dimension,mean_cumulative_jumps
0.99,1.0101010101,0.05,32,0.02945329134224949,2.49252427068601e-18,0.04990268914249248,3.738786406029014e-18,100,0
0.99,1.0101010101,0.1,32,0.02940200005316972,1.712136747344896e-05,0.04999420463981683,0.0001496535566530525,100,0.03125
0.99,1.0101010101,0.15,32,0.02936817811060955,1.708587251011799e-05,0.04994962252221155,0.0001630234579921551,100,0.03125
0.99,1.0101010101,0.2,32,0.02933440638241634,1.734236246633444e-05,0.04989888568913753,0.0001700851796050651,100,0.03125
0.99,1.0101010101,0.25,32,0.02869346356113248,0.0007996327923549057,0.04943433267111692,0.000341601748063538,100,0.09375
0.99,1.0101010101,0.3,32,0.02865270670544316,0.0008050597948801994,0.04937707521393294,0.0003321335797139298,100,0.09375
0.99,1.0101010101,0.35,32,0.02863568069424603,0.0007864821938994844,0.04930530498633016,0.0003227518584514679,100,0.09375
0.99,1.0101010101,0.4,32,0.02822287297959722,0.0007995022069200817,0.04953407577498598,0.0003928733013832222,100,0.15625
0.99,1.0101010101,0.45,32,0.02820513158511861,0.0007765810646560126,0.04941806786259452,0.0003888467126886868,100,0.15625
0.99,1.0101010101,0.5,32,0.02807794270302561,0.0007659206059365665,0.04936118842718439,0.0004041591091240825,100,0.1875
0.99,1.0101010101,0,64,0.02948833845319166,0,0.04996164346306377,2.622655377657235e-18,100,0
0.99,1.0101010101,0.05,64,0.02937748460797421,6.76183353712026e-05,0.05006883494473504,0.0001171064289158859,100,0.03125
0.99,1.0101010101,0.1,64,0.02987175593266669,0.0005843639744908738,0.04989971795564502,0.0002469369733926429,100,0.09375
0.99,1.0101010101,0.15,64,0.0298394017090397,0.0005836827820434871,0.04985546226870115,0.0002486808611880783,100,0.09375
0.99,1.0101010101,0.2,64,0.02980679308728344,0.0005842125872550449,0.04980384711860888,0.0002489191457726912,100,0.09375
0.99,1.0101010101,0.25,64,0.03011127579680942,0.0009046271685871937,0.04943888674816444,0.000332306736484699,100,0.15625
